timestamp,reason,taxonomy,side,fb_regime,box_width_pct,box_width_bucket,confirm_count,reward_to_cost_ratio,reentry_strength,active_trade_present,active_trade_side,active_overlap_same_side,active_trade_exit_reason,active_trade_final_net_return,active_trade_quality,active_trade_age_bars,active_trade_remaining_bars,active_trade_profit_at_block,prev_trade_side,prev_trade_exit_reason,prev_trade_net_return,bars_since_prev_exit,good_mid_before_stop,good_opp_before_stop,mfe_2,mae_2,mfe_4,mae_4,mfe_6,mae_6,active_followed_by_same_side_trade_before_active_exit,same_side_trade_within_6h_after_block,same_side_reentry_time_within_6h
2020-03-07 16:00:00+00:00,risk_side_cooldown,sequencing_cooldown_policy,-1,down,0.0167582458079974,1.5-2.5%,4.0,-0.2618274368895723,1.0499961516047644,True,-1.0,True,price_stop,-0.0116193894525786,price_stop_loser,4.0,0.0,0.0035363717486862623,-1,price_stop,-0.0116193894525786,0,True,True,0.021558872305140975,8.844665561080767e-05,0.021558872305140975,8.844665561080767e-05,0.021558872305140975,8.844665561080767e-05,False,False,
2020-07-06 02:00:00+00:00,position_overlap,sequencing_overlap_policy,-1,down,0.0064121745507884,0.5-1.0%,2.0,0.9490740740740466,0.5263639483015016,True,1.0,False,time_stop_max,0.0221270943129948,winner,4.0,26.0,0.0022271714922050823,1,price_stop,-0.0053131182748328,19,False,False,0.0012321232123213566,0.0006050605060505809,0.0012321232123213566,0.001980198019801982,0.0012321232123213566,0.001980198019801982,False,False,
2021-07-10 17:00:00+00:00,position_overlap,sequencing_overlap_policy,-1,down,0.0329379657657495,2.5-4.0%,3.0,1.930663591751952,0.8124315406256658,True,1.0,False,time_stop_max,0.0124558170834101,winner,29.0,1.0,0.012409858774958371,1,time_stop_early,-0.0022245921506479,6770,False,False,0.0021677101017087974,0.004781537337608777,0.011482276574658723,0.004781537337608777,0.011482276574658723,0.008754674499166004,False,False,
2021-07-18 16:00:00+00:00,position_overlap,sequencing_overlap_policy,1,down,0.0177624461884526,1.5-2.5%,2.0,3.4490281605377424,0.3786390682553697,True,-1.0,False,time_stop_max,0.035547363437111,winner,10.0,20.0,0.013539488083181062,1,time_stop_early,-0.0124876903533298,36,False,False,0.010165256944510759,0.0016560659374890152,0.010165256944510759,0.0016560659374890152,0.01491730795515589,0.0016560659374890152,False,False,
2021-07-18 22:00:00+00:00,position_overlap,sequencing_overlap_policy,-1,down,0.0165989458370705,1.5-2.5%,3.0,-1.4291795690166142,1.2755219919230865,True,-1.0,True,time_stop_max,0.035547363437111,winner,16.0,14.0,0.01068609897811057,1,time_stop_early,-0.0124876903533298,42,False,False,0.0015118331848967825,0.009660518967643084,0.003743134153801231,0.009660518967643084,0.003743134153801231,0.009660518967643084,False,False,
2021-12-01 08:00:00+00:00,position_overlap,sequencing_overlap_policy,-1,down,0.0202968050167726,1.5-2.5%,3.0,-1.5131951325640658,1.2385707711239986,True,-1.0,True,price_stop,-0.0127249004186473,price_stop_loser,17.0,5.0,0.005300436722432189,-1,time_stop_max,0.035547363437111,3236,False,False,0.003243239444538082,0.004787555518074971,0.003243239444538082,0.008250407601056997,0.003243239444538082,0.008250407601056997,False,False,
2021-12-02 05:00:00+00:00,risk_side_cooldown,sequencing_cooldown_policy,1,down,0.0214431715924749,1.5-2.5%,2.0,4.526232579815936,0.3245428180738997,False,,,,,none,,,,1,price_stop,-0.0142269772316688,2,False,False,0.0010967070667304846,0.009374736368493619,0.0053148111695395794,0.009374736368493619,0.0053148111695395794,0.009374736368493619,False,False,
2021-12-02 18:00:00+00:00,circuit_pause,risk_policy_circuit_pause,1,down,0.0181404107597043,1.5-2.5%,4.0,3.506425666576773,0.3814604155507868,False,,,,,none,,,,1,price_stop,-0.0159198861238874,3,False,False,0.008806022501537836,0.0039200548525660794,0.008806022501537836,0.0039200548525660794,0.008806022501537836,0.006747288658103923,False,False,
2021-12-03 04:00:00+00:00,circuit_pause,risk_policy_circuit_pause,1,down,0.0179692242919937,1.5-2.5%,3.0,3.2242516951223874,0.4258179843084007,False,,,,,none,,,,1,price_stop,-0.0159198861238874,13,False,False,0.007673759241103362,0.003124972398138137,0.007673759241103362,0.003124972398138137,0.01302807882208512,0.003124972398138137,False,False,
2021-12-16 12:00:00+00:00,position_overlap,sequencing_overlap_policy,-1,down,0.0427913905720932,4.0-8.0%,2.0,11.858003114983347,0.1132419521628471,True,-1.0,True,time_stop_max,0.034724036268611,winner,5.0,25.0,0.0002914955156905208,-1,state_stop,0.1636617089091609,291,True,True,0.006408611070613746,0.01207595056272992,0.00922174697793221,0.01207595056272992,0.01729154560257573,0.01207595056272992,False,False,
