variant,trades,win_rate,avg_return,total_return,sharpe,max_drawdown,avg_holding_bars,avg_return_per_trade,price_stop_count,time_stop_max_count,time_stop_max_contribution,removed_trades,removed_fragile_hopeless,removed_fragile_mixed,removed_fragile_high_upside,preserve_high_trades,preserve_high_oracle_high_upside_rate,preserve_high_hopeless_contamination,preserve_high_mixed_rate
control,117,0.37606837606837606,0.006045397484166492,0.9470692568786041,5.048028441645811,-0.1486457384327482,17.700854700854702,0.006045397484166492,49,42,0.9806014221897852,0,0,0,0,20,0.35,0.2,0.45
prior_preserve_first,112,0.39285714285714285,0.006638242773852303,1.0191018888277004,5.43191115381464,-0.12601203107126357,17.848214285714285,0.006638242773852303,47,43,0.9804892099320673,6,5,1,0,20,0.35,0.2,0.45
refined_preserve_variant,110,0.4,0.006856236164009406,1.0408873749454695,5.547438619375164,-0.1260120310712639,17.990909090909092,0.006856236164009406,46,43,0.9804892099320673,8,7,1,0,18,0.3888888888888889,0.1111111111111111,0.5
experimental_narrow_candidate,110,0.4,0.006856236164009406,1.0408873749454695,5.547438619375164,-0.1260120310712639,17.990909090909092,0.006856236164009406,46,43,0.9804892099320673,8,7,1,0,18,0.3888888888888889,0.1111111111111111,0.5
