engine,entry_time,exit_time,side,entry_price,exit_price,hold_bars,gross_return,exit_reason,entry_confidence,entry_base_confirms,entry_box_width_pct,entry_warmup,take_profit_target,early_favorable_excursion,early_adverse_excursion,net_return,weighted_return,fb_regime,fb_regime_ret,box_width_pct,event_base_confirms,event_confidence,reward_to_cost_ratio,expected_reward_rate,expected_cost_rate,blocked_reason,capture_recovery_used,capture_recovery_reason,capture_recovery_candidate_signal,effective_signal_input,reentry_strength,box_midline,box_upper_edge,box_lower_edge,box_width,box_width_pct_evt,h4_box_width_pct,box_confidence,h4_method_agreement,h4_transition_risk,atr,box_width_bucket,h4_width_bucket,reward_to_midline,reward_to_opposite_edge,reward_to_cost_midline,entry_stop_distance,stop_dist_box_ratio
false_break,2020-03-07 12:00:00+00:00,2020-03-07 16:00:00+00:00,-1,9077.1,9168.047000000002,4,-0.0100193894525786,price_stop,0.6229936223187185,3.0,0.0181330858240335,False,,0.0058829361800574,0.0127904286611362,-0.0116193894525786,-0.0116193894525786,down,-0.0769864350938561,0.0181330858240335,3.0,0.6229936223187185,2.8498627957535687,0.0045597804732057,0.0016,,False,,0,-1,0.4970761714300025,9035.710416666663,9118.008333333331,8953.412499999999,164.59583333333467,0.0181330858240335,0.0416291757873082,0.8306581630916245,1.0,0.0733896228499629,35.72857142857122,1.5-2.5%,4.0-5.0%,0.004559780473205932,0.013626323385222405,2.8498627957537073,98.7575000000008,0.6
false_break,2020-07-05 05:00:00+00:00,2020-07-05 07:00:00+00:00,1,9079.7,9045.986,2,-0.0037131182748328,price_stop,0.488542699999928,2.0,0.0061261201728397,False,,0.0003744617112899,0.003821712171107,-0.0053131182748328,-0.0053131182748328,down,-0.0726199352446709,0.0061261201728397,2.0,0.488542699999928,1.147362614770664,0.001835780183633,0.0016,,False,,0,1,0.400671181158992,9096.368333333334,9124.18,9068.556666666667,55.623333333332994,0.0061261201728397,0.0178709496574192,0.977085399999856,0.6666666666666666,0.0687834466764149,32.08571428571434,0.5-1.0%,<=2.0%,0.0018357801836330623,0.00489884027005294,1.147362614770664,35.29428571428578,0.6345230247669322
false_break,2020-07-05 22:00:00+00:00,2020-07-07 04:00:00+00:00,1,9069.8,9285.0,30,0.0237270943129948,time_stop_max,0.7343856749659423,3.0,0.0073129139194542,False,,0.0340911596727602,0.0013010209706938,0.0221270943129948,0.0221270943129948,down,-0.0628919770625614,0.0073129139194542,3.0,0.7343856749659423,0.4986787654266689,0.0007978860246826,0.0016,,False,,0,1,0.7817871142828182,9077.036666666669,9110.2,9043.873333333331,66.32666666666591,0.0073129139194542,0.018657685238496,0.9791808999545898,0.6666666666666666,0.0591941269352262,42.71428571428584,0.5-1.0%,<=2.0%,0.0007978860246828923,0.0044543429844099425,0.49867876542680767,46.98571428571443,0.7083985468747859
false_break,2020-07-10 15:00:00+00:00,2020-07-11 09:00:00+00:00,1,9240.3,9210.4,18,-0.0032358256766554,time_stop_early,0.4188617366730438,2.0,0.0182799800872266,False,,0.0082140190253565,0.0065798729478478,-0.0048358256766554,-0.0048358256766554,down,-0.0531800436506716,0.0182799800872266,2.0,0.4188617366730438,3.554825736177547,0.005687721177884,0.0016,,True,exec_conf_low,0,1,0.3777103529934045,9292.85625,9377.3125,9208.4,168.91250000000036,0.0182799800872266,0.0248330550158989,0.8377234733460877,0.6666666666666666,0.0431003476013871,37.01428571428577,1.5-2.5%,2.0-3.0%,0.005687721177884075,0.014827711221497175,3.554825736177547,101.34750000000021,0.6
false_break,2020-09-13 19:00:00+00:00,2020-09-15 01:00:00+00:00,1,10307.7,10710.9,30,0.0391163887191128,time_stop_max,0.7437380498415033,3.0,0.0152111204892136,False,,0.0432007140293178,0.0066067114875287,0.0375163887191128,0.0375163887191128,down,-0.1265105164144195,0.0152111204892136,3.0,0.7437380498415033,3.120088623068118,0.0049921417969089,0.0016,,False,,0,1,0.3436194525644659,10359.1575,10437.553333333331,10280.761666666664,156.79166666666788,0.0152111204892136,0.038168000479719,0.9916507331220044,0.6666666666666666,0.1194975153961614,62.935714285714184,1.5-2.5%,3.0-4.0%,0.004992141796908989,0.012597702041515557,3.120088623068118,94.07500000000073,0.6
false_break,2020-09-16 00:00:00+00:00,2020-09-16 07:00:00+00:00,-1,10716.3,10919.75175,7,-0.018985260770975,price_stop,0.4166035767496507,2.0,0.0363447505202356,False,,0.00403124212648,0.021080036953053,-0.020585260770975,-0.020585260770975,down,-0.0953655242275874,0.0363447505202356,2.0,0.4166035767496507,8.246236165934118,0.0131939778654945,0.0016,,True,exec_conf_low,0,-1,0.2739541377152315,10574.909375,10769.65,10380.16875,389.4812500000007,0.0363447505202356,0.0333239035128398,0.8332071534993014,1.0,0.0624714029599372,88.2928571428569,2.5-4.0%,3.0-4.0%,0.013193977865494588,0.0313663531256122,8.246236165934118,233.68875000000043,0.6
false_break,2020-09-25 08:00:00+00:00,2020-09-26 00:00:00+00:00,-1,10603.9,10650.1,16,-0.0043568875602373,time_stop_early,0.4944198493207608,2.0,0.0262962997890713,False,,0.0048944256358509,0.013768519129754,-0.0059568875602373,-0.0059568875602373,down,-0.066829178143673,0.0262962997890713,2.0,0.4944198493207608,7.8887052562422175,0.0126219284099875,0.0016,,False,,0,-1,0.0400224737905388,10470.058333333332,10609.48,10330.636666666664,278.84333333333416,0.0262962997890713,0.0425395948951675,0.9888396986415215,0.6666666666666666,0.0109659305688248,64.24999999999987,2.5-4.0%,4.0-5.0%,0.012621928409987548,0.02577007830452338,7.8887052562422175,167.3060000000005,0.6
false_break,2020-09-29 06:00:00+00:00,2020-09-29 17:00:00+00:00,1,10741.2,10644.786,11,-0.0089760920567535,price_stop,0.7385703493385437,3.0,0.0155834543626412,False,,0.0050087513499421,0.009700964510483,-0.0105760920567535,-0.0105760920567535,down,-0.0728515692435175,0.0155834543626412,3.0,0.7385703493385437,3.036448829429328,0.0048583181270869,0.0016,,False,,0,1,0.3764773824815204,10793.384166666669,10877.076666666668,10709.691666666666,167.38500000000204,0.0155834543626412,0.0350252718950334,0.984760465784725,0.6666666666666666,0.0273115661626139,50.03571428571403,1.5-2.5%,3.0-4.0%,0.004858318127087147,0.01265004530840752,3.0364488294294665,100.43100000000122,0.6
false_break,2020-09-30 12:00:00+00:00,2020-10-01 15:00:00+00:00,1,10727.0,10720.3,27,-0.0006245921506479,time_stop_early,0.6347342699903507,3.0,0.0166263090022063,False,,0.0214319008110375,0.0040085764892328,-0.0022245921506479,-0.0022245921506479,down,-0.0848284746572478,0.0166263090022063,3.0,0.6347342699903507,3.3483582121437983,0.00535737313943,0.0016,,False,,0,1,0.3555547248978488,10784.468541666669,10873.64375,10695.293333333331,178.35041666666802,0.0166263090022063,0.0333889492109252,0.8463123599871343,0.6666666666666666,0.0104568507418704,53.66428571428579,1.5-2.5%,3.0-4.0%,0.005357373139430299,0.013670527640533114,3.348358212143937,107.01025000000081,0.6
false_break,2021-07-09 12:00:00+00:00,2021-07-10 18:00:00+00:00,1,32989.9,33453.6,30,0.0140558170834101,time_stop_max,0.6263223545136463,3.0,0.0419168568763972,False,,0.0385936301716585,0.0011488364620687,0.0124558170834101,0.0124558170834101,down,-0.0538550004732172,0.0419168568763972,3.0,0.6263223545136463,8.399157614653735,0.0134386521834459,0.0016,,False,,0,1,0.3587948531984026,33433.23979166667,34124.65624999999,32741.823333333334,1382.832916666659,0.0419168568763972,0.0576746655924118,0.8350964726848618,1.0,0.0209074886980626,322.6428571428569,4.0-8.0%,5.0-6.0%,0.013438652183445976,0.03439708062164448,8.399157614653735,829.6997499999953,0.6
