variant,exit_reason,count,ratio,avg_return,total_return
baseline_master_current,price_stop,49,0.4188034188034188,-0.010717835595575782,-0.41044867169568944
baseline_master_current,time_stop_max,42,0.358974358974359,0.02334765290928056,1.6206570195133523
baseline_master_current,time_stop_early,23,0.19658119658119658,-0.004019738146533678,-0.08855650262898696
baseline_master_current,state_stop,3,0.02564102564102564,0.11477933500372857,0.3826741403821463
variant_capture_audit_only,price_stop,49,0.4188034188034188,-0.010717835595575782,-0.41044867169568944
variant_capture_audit_only,time_stop_max,42,0.358974358974359,0.02334765290928056,1.6206570195133523
variant_capture_audit_only,time_stop_early,23,0.19658119658119658,-0.004019738146533678,-0.08855650262898696
variant_capture_audit_only,state_stop,3,0.02564102564102564,0.11477933500372857,0.3826741403821463
variant_near_miss_recovery_1,price_stop,55,0.4330708661417323,-0.01137435174714852,-0.4672581386793784
variant_near_miss_recovery_1,time_stop_max,41,0.3228346456692913,0.024194092540554043,1.6486218219688924
variant_near_miss_recovery_1,time_stop_early,28,0.2204724409448819,-0.003977350558784368,-0.10566709537293584
variant_near_miss_recovery_1,state_stop,3,0.023622047244094488,0.11477933500372857,0.3826741403821463
variant_near_miss_recovery_2,price_stop,49,0.4188034188034188,-0.010717835595575782,-0.41044867169568944
variant_near_miss_recovery_2,time_stop_max,42,0.358974358974359,0.02334765290928056,1.6206570195133523
variant_near_miss_recovery_2,time_stop_early,23,0.19658119658119658,-0.004019738146533678,-0.08855650262898696
variant_near_miss_recovery_2,state_stop,3,0.02564102564102564,0.11477933500372857,0.3826741403821463
variant_soft_confirm_strong_context,price_stop,49,0.4188034188034188,-0.010717835595575782,-0.41044867169568944
variant_soft_confirm_strong_context,time_stop_max,42,0.358974358974359,0.02334765290928056,1.6206570195133523
variant_soft_confirm_strong_context,time_stop_early,23,0.19658119658119658,-0.004019738146533678,-0.08855650262898696
variant_soft_confirm_strong_context,state_stop,3,0.02564102564102564,0.11477933500372857,0.3826741403821463
variant_best_effort_capture_recovery,price_stop,55,0.4330708661417323,-0.01137435174714852,-0.4672581386793784
variant_best_effort_capture_recovery,time_stop_max,41,0.3228346456692913,0.024194092540554043,1.6486218219688924
variant_best_effort_capture_recovery,time_stop_early,28,0.2204724409448819,-0.003977350558784368,-0.10566709537293584
variant_best_effort_capture_recovery,state_stop,3,0.023622047244094488,0.11477933500372857,0.3826741403821463
