variant,remove_top_winners,trades,win_rate,avg_return,total_return,sharpe,max_drawdown,avg_holding_bars
baseline_master_current,0,117,0.37606837606837606,0.0060453974841665065,0.9470692568786152,5.048028441645829,-0.14864573843274653,17.700854700854702
baseline_master_current,3,114,0.35964912280701755,0.003174782918805552,0.4068066777487145,3.731785034637478,-0.1486457384327461,17.49122807017544
baseline_master_current,5,112,0.3482142857142857,0.002164686026388631,0.2527011986352776,2.763039864569252,-0.14864573843274653,17.357142857142858
baseline_master_current,10,107,0.3177570093457944,2.190387281524205e-05,-0.009145648975161902,0.033751143657119544,-0.2101400372451896,16.766355140186917
variant_capture_audit_only,0,117,0.37606837606837606,0.0060453974841665065,0.9470692568786152,5.048028441645829,-0.14864573843274653,17.700854700854702
variant_capture_audit_only,3,114,0.35964912280701755,0.003174782918805552,0.4068066777487145,3.731785034637478,-0.1486457384327461,17.49122807017544
variant_capture_audit_only,5,112,0.3482142857142857,0.002164686026388631,0.2527011986352776,2.763039864569252,-0.14864573843274653,17.357142857142858
variant_capture_audit_only,10,107,0.3177570093457944,2.190387281524205e-05,-0.009145648975161902,0.033751143657119544,-0.2101400372451896,16.766355140186917
variant_near_miss_recovery_1,0,127,0.3464566929133858,0.004719217617596619,0.7448408762029024,4.00252474239739,-0.15777897563103394,17.590551181102363
variant_near_miss_recovery_1,3,124,0.33064516129032256,0.0020480192300896954,0.26069156892049117,2.4017797554145774,-0.15777897563103394,17.39516129032258
variant_near_miss_recovery_1,5,122,0.319672131147541,0.001013045926515737,0.11112191064940946,1.305859937921269,-0.15777897563103416,17.270491803278688
variant_near_miss_recovery_1,10,117,0.2905982905982906,-0.0010267765330386684,-0.12415194886584058,-1.6014186665537353,-0.232630083671149,16.726495726495727
variant_near_miss_recovery_2,0,117,0.37606837606837606,0.0060453974841665065,0.9470692568786152,5.048028441645829,-0.14864573843274653,17.700854700854702
variant_near_miss_recovery_2,3,114,0.35964912280701755,0.003174782918805552,0.4068066777487145,3.731785034637478,-0.1486457384327461,17.49122807017544
variant_near_miss_recovery_2,5,112,0.3482142857142857,0.002164686026388631,0.2527011986352776,2.763039864569252,-0.14864573843274653,17.357142857142858
variant_near_miss_recovery_2,10,107,0.3177570093457944,2.190387281524205e-05,-0.009145648975161902,0.033751143657119544,-0.2101400372451896,16.766355140186917
variant_soft_confirm_strong_context,0,117,0.37606837606837606,0.0060453974841665065,0.9470692568786152,5.048028441645829,-0.14864573843274653,17.700854700854702
variant_soft_confirm_strong_context,3,114,0.35964912280701755,0.003174782918805552,0.4068066777487145,3.731785034637478,-0.1486457384327461,17.49122807017544
variant_soft_confirm_strong_context,5,112,0.3482142857142857,0.002164686026388631,0.2527011986352776,2.763039864569252,-0.14864573843274653,17.357142857142858
variant_soft_confirm_strong_context,10,107,0.3177570093457944,2.190387281524205e-05,-0.009145648975161902,0.033751143657119544,-0.2101400372451896,16.766355140186917
variant_best_effort_capture_recovery,0,127,0.3464566929133858,0.004719217617596619,0.7448408762029024,4.00252474239739,-0.15777897563103394,17.590551181102363
variant_best_effort_capture_recovery,3,124,0.33064516129032256,0.0020480192300896954,0.26069156892049117,2.4017797554145774,-0.15777897563103394,17.39516129032258
variant_best_effort_capture_recovery,5,122,0.319672131147541,0.001013045926515737,0.11112191064940946,1.305859937921269,-0.15777897563103416,17.270491803278688
variant_best_effort_capture_recovery,10,117,0.2905982905982906,-0.0010267765330386684,-0.12415194886584058,-1.6014186665537353,-0.232630083671149,16.726495726495727
