variant,trades,win_rate,avg_return,total_return,sharpe,max_drawdown,avg_holding_bars,price_stop_count,price_stop_total_return,time_stop_max_count,time_stop_max_total_return,state_stop_count,state_stop_total_return,capture_rate_in_tradable,execution_capture_rate,baseline_trades_retained,baseline_trades_lost,new_trades_added,missed_good_candidate_recovery_count,newly_introduced_bad_trade_count,new_price_stop_count
baseline_master_current,117,0.37606837606837606,0.0060453974841665065,0.9470692568786152,5.048028441645829,-0.14864573843274653,17.700854700854702,49,-0.41044867169568944,42,1.6206570195133523,3,0.3826741403821463,0.029693782864212804,0.04856170739251469,117,0,0,0,0,0
variant_capture_audit_only,117,0.37606837606837606,0.0060453974841665065,0.9470692568786152,5.048028441645829,-0.14864573843274653,17.700854700854702,49,-0.41044867169568944,42,1.6206570195133523,3,0.3826741403821463,0.029693782864212804,0.04856170739251469,117,0,0,0,0,0
variant_near_miss_recovery_2,117,0.37606837606837606,0.0060453974841665065,0.9470692568786152,5.048028441645829,-0.14864573843274653,17.700854700854702,49,-0.41044867169568944,42,1.6206570195133523,3,0.3826741403821463,0.029693782864212804,0.04856170739251469,117,0,0,0,0,0
variant_soft_confirm_strong_context,117,0.37606837606837606,0.0060453974841665065,0.9470692568786152,5.048028441645829,-0.14864573843274653,17.700854700854702,49,-0.41044867169568944,42,1.6206570195133523,3,0.3826741403821463,0.029693782864212804,0.04856170739251469,117,0,0,0,0,0
variant_near_miss_recovery_1,127,0.3464566929133858,0.004719217617596619,0.7448408762029024,4.00252474239739,-0.15777897563103394,17.590551181102363,55,-0.4672581386793784,41,1.6486218219688924,3,0.3826741403821463,0.031549644293226105,0.054129291679554596,107,10,20,7,18,13
variant_best_effort_capture_recovery,127,0.3464566929133858,0.004719217617596619,0.7448408762029024,4.00252474239739,-0.15777897563103394,17.590551181102363,55,-0.4672581386793784,41,1.6486218219688924,3,0.3826741403821463,0.031549644293226105,0.054129291679554596,107,10,20,7,18,13
