variant,fb_regime,raw_candidates,event_survivors,confirm_survivors,execution_survivors,final_trades,event_capture_rate,confirm_capture_rate,execution_capture_rate,trade_capture_rate
baseline_master_current,down,3233,412,283,157,96,0.12743581812557997,0.6868932038834952,0.5547703180212014,0.029693782864212804
variant_capture_audit_only,down,3233,412,283,157,96,0.12743581812557997,0.6868932038834952,0.5547703180212014,0.029693782864212804
variant_near_miss_recovery_1,down,3233,412,283,175,102,0.12743581812557997,0.6868932038834952,0.6183745583038869,0.031549644293226105
variant_near_miss_recovery_2,down,3233,412,283,157,96,0.12743581812557997,0.6868932038834952,0.5547703180212014,0.029693782864212804
variant_soft_confirm_strong_context,down,3233,412,283,157,96,0.12743581812557997,0.6868932038834952,0.5547703180212014,0.029693782864212804
variant_best_effort_capture_recovery,down,3233,412,283,175,102,0.12743581812557997,0.6868932038834952,0.6183745583038869,0.031549644293226105
