box_width_bucket,trades,win_rate,avg_return,total_return,avg_hold_bars,median_reward_to_cost_midline,price_stop_ratio,time_stop_max_ratio,time_stop_early_ratio
<=0.5%,0,,,0.0,,,,,
0.5-1.0%,26,0.3076923076923077,0.0037199060359785537,0.09690004234764271,13.153846153846153,1.149796561444004,0.6153846153846154,0.3076923076923077,0.07692307692307693
1.0-1.5%,22,0.22727272727272727,-0.002564347942108214,-0.05617581669903604,14.227272727272727,2.2240750814923187,0.5909090909090909,0.22727272727272727,0.18181818181818182
1.5-2.5%,60,0.3,0.005457128544351429,0.347530222251101,17.6,3.6031565773094947,0.45,0.3,0.21666666666666667
2.5-4.0%,0,,,0.0,,,,,
4.0-8.0%,0,,,0.0,,,,,
>8.0%,0,,,0.0,,,,,
