variant,remove_top_winners,trades,win_rate,avg_return,total_return,sharpe,max_drawdown,avg_holding_bars
baseline_current,0,145,0.31724137931034485,0.0034503522175178846,0.582266653547985,3.2433890412901833,-0.16882339509499134,16.648275862068967
baseline_current,3,142,0.3028169014084507,0.0010909494270172192,0.14322759004416064,1.4445472748449302,-0.16882339509499167,16.45774647887324
baseline_current,5,140,0.29285714285714287,0.0002531028632009912,0.01799529033586733,0.36538568106461755,-0.1688233950949921,16.335714285714285
baseline_current,10,135,0.26666666666666666,-0.001516049775675237,-0.1947919712610059,-2.67149637151993,-0.24671113085973928,15.829629629629629
variant_no_warmup,0,136,0.33088235294117646,0.003879362739031426,0.6276601151134253,3.5580215421455934,-0.168823395094991,16.852941176470587
variant_no_warmup,3,133,0.3157894736842105,0.0013699780421400423,0.17602551165418268,1.788993739338394,-0.16882339509499156,16.654135338345863
variant_no_warmup,5,131,0.3053435114503817,0.0004788294795138881,0.04720043725724188,0.6843251979617323,-0.16882339509499156,16.52671755725191
variant_no_warmup,10,126,0.2777777777777778,-0.0014077337995871148,-0.17169145301220912,-2.4872878287857736,-0.24671113085973917,15.992063492063492
variant_early_failure_global,0,145,0.296551724137931,0.003170762301956418,0.5210067035102715,3.0686491061365198,-0.14581271324040068,16.055172413793102
variant_early_failure_global,3,142,0.28169014084507044,0.0008054526822537485,0.09896573007839526,1.113760132835737,-0.14687688184808612,15.852112676056338
variant_early_failure_global,5,140,0.2714285714285714,-3.647240648767159e-05,-0.021418003551585185,-0.05533880990307281,-0.15813995388809754,15.721428571428572
variant_early_failure_global,10,135,0.24444444444444444,-0.0018163500553523692,-0.2259668705739052,-3.434136388405044,-0.23214148354051112,15.192592592592593
variant_early_failure_targeted,0,145,0.3103448275862069,0.0032297798977033157,0.5335140808064995,3.086119917885077,-0.16090931266769604,16.337931034482757
variant_early_failure_targeted,3,142,0.29577464788732394,0.0008657171286150177,0.10800262583302445,1.175989788565529,-0.16090931266769626,16.140845070422536
variant_early_failure_targeted,5,140,0.2857142857142857,2.465296053590132e-05,-0.013371034253796488,0.03666366572978611,-0.16090931266769604,16.014285714285716
variant_early_failure_targeted,10,135,0.25925925925925924,-0.0017529607858464411,-0.2196019253260174,-3.225065004934845,-0.23953865973054878,15.496296296296297
variant_bad_width_bucket_filter,0,126,0.35714285714285715,0.0053969781323754025,0.8927678627136495,4.6445954822061255,-0.14864573843274642,17.404761904761905
variant_bad_width_bucket_filter,3,123,0.34146341463414637,0.0027205934290703455,0.3675725500193272,3.26221610980187,-0.14864573843274598,17.203252032520325
variant_bad_width_bucket_filter,5,121,0.3305785123966942,0.001778120446176415,0.2177648853440537,2.308198163433547,-0.14864573843274653,17.074380165289256
variant_bad_width_bucket_filter,10,116,0.3017241379310345,-0.00021507367738749652,-0.036779372061791715,-0.33374029844242165,-0.21014003724519015,16.517241379310345
variant_bad_width_bucket_repair,0,145,0.31724137931034485,0.0035071656164169756,0.595461812177708,3.3025051402849286,-0.16189187876274536,16.627586206896552
variant_bad_width_bucket_repair,3,142,0.3028169014084507,0.0011489631089916423,0.15276142517029623,1.5250357077582752,-0.16189187876274558,16.43661971830986
variant_bad_width_bucket_repair,5,140,0.29285714285714287,0.0003119453120607636,0.026484762897380998,0.45149521967154294,-0.16189187876274547,16.314285714285713
variant_bad_width_bucket_repair,10,135,0.26666666666666666,-0.0014550279768576954,-0.18807701734011484,-2.571599457659182,-0.24042915171291102,15.807407407407407
variant_combo_best_effort,0,117,0.37606837606837606,0.0060453974841665065,0.9470692568786152,5.048028441645829,-0.14864573843274653,17.700854700854702
variant_combo_best_effort,3,114,0.35964912280701755,0.003174782918805552,0.4068066777487145,3.731785034637478,-0.1486457384327461,17.49122807017544
variant_combo_best_effort,5,112,0.3482142857142857,0.002164686026388631,0.2527011986352776,2.763039864569252,-0.14864573843274653,17.357142857142858
variant_combo_best_effort,10,107,0.3177570093457944,2.190387281524205e-05,-0.009145648975161902,0.033751143657119544,-0.2101400372451896,16.766355140186917
