event_base_confirms,trades,price_stop_count,price_stop_rate,avg_return,total_return
1,1,1,1.0,-0.013730774997779,-0.013730774997778972
2,45,21,0.4666666666666667,0.009934354716133175,0.5226151028311112
3,89,40,0.449438202247191,0.000867026237469445,0.06620268058529932
4,10,6,0.6,-0.0010179450822901197,-0.011778518371976188
