engine,entry_time,exit_time,side,entry_price,exit_price,hold_bars,gross_return,exit_reason,entry_confidence,entry_base_confirms,entry_box_width_pct,entry_warmup,take_profit_target,early_favorable_excursion,early_adverse_excursion,net_return,weighted_return,fb_regime,fb_regime_ret,box_width_pct,event_base_confirms,entry_warmup_exec,reward_to_cost_ratio,expected_reward_rate,expected_cost_rate,blocked_reason,open,high,low,close,box_midline,box_upper_edge,box_lower_edge,box_width,box_width_pct_bar,h4_box_width_pct,event_false_break_side,event_false_break_base_confirms,event_false_break_confidence,reentry_strength,relevant_wick_ratio,momentum_turn_flag,atr,warmup,box_width_bucket,h4_width_bucket,event_type,major_direction,with_major_direction,reward_to_midline,reward_to_opposite_edge,reward_to_cost_midline,reward_to_cost_opposite,entry_reward_to_cost_ratio,entry_stop_distance,stop_dist_box_ratio,mfe_1,mae_1,mfe_2,mae_2,mfe_3,mae_3,mfe_4,mae_4,mfe_6,mae_6
false_break,2022-09-26 07:00:00+00:00,2022-09-27 13:00:00+00:00,1,18910.7,20195.4,30,0.0679350843702242,time_stop_max,0.6240324635383276,3.0,0.0151295078095116,False,,0.0779981703480039,0.005520684057174,0.0663350843702242,0.0663350843702242,down,-0.0668847637939031,0.0151295078095116,3.0,False,2.2053142643228827,0.0035285028229166,0.0016,,18702.6,18937.5,18683.1,18910.7,18977.42645833333,19120.48125,18834.371666666662,286.1095833333311,0.0151295078095116,0.0479338452461702,long,3,0.6240324635383276,0.26678006533046567,0.07665094339622598,True,155.5,False,1.5-2.5%,4.0-5.0%,buy_fb,short,False,0.0035285028229166127,0.011093256727672696,2.2053142643228827,6.933285454795435,2.2053142643228827,171.66574999999867,0.6,0.02018434008259873,0.0005658172357448921,0.02170199939716655,0.0005658172357448921,0.02170199939716655,0.0005658172357448921,0.02170199939716655,0.005520684057174097,0.02170199939716655,0.005520684057174097
false_break,2022-03-15 13:00:00+00:00,2022-03-16 19:00:00+00:00,1,38721.3,40881.7,30,0.0557935813105447,time_stop_max,0.4944328623186509,2.0,0.0161131814617105,False,,0.0790572630567671,0.0012396278017525,0.0541935813105447,0.0541935813105447,down,-0.0890477669245101,0.0161131814617105,2.0,False,2.6461803107505344,0.0042338884972008,0.0016,,38862.3,38933.0,38439.0,38721.3,38885.24166666667,39197.20333333333,38573.28,623.9233333333323,0.0161131814617105,0.0331274258349099,long,2,0.4944328623186509,0.23724068662282918,0.5714574898785484,False,371.4071428571437,False,1.5-2.5%,3.0-4.0%,buy_fb,short,False,0.004233888497200855,0.01229047922805604,2.6461803107505344,7.681549517535024,2.6461803107505344,408.5478571428581,0.6548045814542259,0.012362704764561139,0.0012396278017525741,0.014067192991970678,0.0012396278017525741,0.018514357730757824,0.0012396278017525741,0.018514357730757824,0.0012396278017525741,0.02837714642845146,0.0012396278017525741
false_break,2022-06-05 11:00:00+00:00,2022-06-06 17:00:00+00:00,1,29718.0,31347.0,30,0.0548152634766807,time_stop_max,0.6311005231870794,3.0,0.0162496915449672,False,,0.0687697691634698,0.0033010296789823,0.0532152634766807,0.0532152634766807,down,-0.169493893748428,0.0162496915449672,3.0,False,3.0646584841959035,0.0049034535747134,0.0016,,29639.8,29747.0,29588.6,29718.0,29863.720833333333,30105.175,29622.266666666663,482.9083333333365,0.0162496915449672,0.0518837738161497,long,3,0.6311005231870794,0.19824328288668297,0.32323232323232487,True,125.26428571428603,False,1.5-2.5%,5.0-6.0%,buy_fb,short,False,0.0049034535747134456,0.01302829934719707,3.0646584841959035,8.142687091998168,3.0646584841959035,289.7450000000019,0.6,0.002355474796419621,0.0016219126455346844,0.002355474796419621,0.0026919711959082493,0.004438387509253738,0.003301029678982381,0.008954169190389605,0.003301029678982381,0.016219126455346844,0.003301029678982381
false_break,2025-11-30 20:00:00+00:00,2025-12-02 02:00:00+00:00,-1,91257.0,86496.1,30,0.0521702444743964,time_stop_max,0.4962361154528925,2.0,0.0077367215665647,False,,0.0819663149128285,0.0003714783523454,0.0505702444743964,0.0505702444743964,down,-0.1661283086175969,0.0077367215665647,2.0,False,1.8003299290282604,0.0028805278864452,0.0016,,91409.6,91577.0,91121.6,91257.0,90994.13166666668,91347.14666666668,90641.11666666668,706.0299999999988,0.0077367215665647,0.035534476722879,short,2,0.4962361154528925,0.12768107115375005,0.36758893280631605,False,419.22142857142796,False,0.5-1.0%,3.0-4.0%,sell_fb,short,True,0.0028805278864451056,0.006748888669727449,1.800329929028191,4.218055418579655,1.800329929028191,461.1435714285708,0.6531501089593523,0.0049453740534972646,0.0002608019110863502,0.0049453740534972646,0.00037147835234541127,0.010486866760906044,0.00037147835234541127,0.0472511697732777,0.00037147835234541127,0.05283868634734867,0.00037147835234541127
false_break,2024-07-02 13:00:00+00:00,2024-07-03 19:00:00+00:00,-1,62629.0,59661.7,30,0.0473790097239298,time_stop_max,0.8334556717898051,4.0,0.0234145390580508,False,,0.0494611122642865,0.0019527694837855,0.0457790097239298,0.0457790097239298,down,-0.0814222269156531,0.0234145390580508,4.0,False,4.44405663377459,0.0071104906140393,0.0016,,62870.1,63165.0,62531.1,62629.0,62183.67708333333,62916.89166666666,61450.4625,1466.4291666666686,0.0234145390580508,0.0405496982758164,short,4,0.8334556717898051,0.19632156343498514,0.4652153336488417,True,272.57142857142907,False,1.5-2.5%,4.0-5.0%,sell_fb,short,True,0.007110490614039344,0.018817760143064688,4.44405663377459,11.761100089415429,4.44405663377459,879.8575000000011,0.6,0.012007217103897516,0.0019527694837855325,0.01264749556914524,0.0019527694837855325,0.012757668172891146,0.0019527694837855325,0.012757668172891146,0.0019527694837855325,0.012757668172891146,0.0019527694837855325
false_break,2023-08-29 12:00:00+00:00,2023-08-30 18:00:00+00:00,1,26049.8,27279.9,30,0.0472210919085751,time_stop_max,0.4945631114382011,2.0,0.0060480950589513,False,,0.081624427058941,0.001527842824129,0.0456210919085751,0.0456210919085751,down,-0.1115772098194493,0.0060480950589513,2.0,False,0.0826741792003815,0.0001322786867206,0.0016,,25977.9,26049.9,25964.6,26049.8,26053.24583333333,26132.021666666667,25974.47,157.55166666666992,0.0060480950589513,0.0094570059689695,long,2,0.4945631114382011,0.478128867778802,0.15592028135993502,False,69.97142857142873,False,0.5-1.0%,<=2.0%,buy_fb,short,False,0.00013227868672038845,0.0031563262161962147,0.08267417920024278,1.9727038851226342,0.08267417920024278,94.53100000000195,0.6,0.002280247832996851,0.0015278428241290998,0.06334789518537565,0.0015278428241290998,0.06334789518537565,0.0015278428241290998,0.08162442705894102,0.0015278428241290998,0.08162442705894102,0.0015278428241290998
false_break,2024-09-08 17:00:00+00:00,2024-09-09 23:00:00+00:00,1,54500.1,57035.2,30,0.0465155109807138,time_stop_max,0.624548436424615,3.0,0.0351387275742002,False,,0.0671815281072878,0.0058954020267851,0.0449155109807138,0.0449155109807138,down,-0.0947503924125273,0.0351387275742002,3.0,False,5.602976148973426,0.0089647618383574,0.0016,,53911.1,54522.9,53904.6,54500.1,54988.68041666667,55946.2125,54031.14833333333,1915.0641666666704,0.0351387275742002,0.050965400399841,long,3,0.624548436424615,0.2448751717196596,0.010512696102215703,True,319.12142857142993,False,2.5-4.0%,5.0-6.0%,buy_fb,short,False,0.008964761838357482,0.02653412562545765,5.602976148973426,16.58382851591103,5.602976148973426,1149.0385000000022,0.6,0.0005284393973590262,0.004205496870647862,0.0005284393973590262,0.004205496870647862,0.0005284393973590262,0.005895402026785179,0.002833022324729706,0.005895402026785179,0.015154100634677814,0.005895402026785179
false_break,2022-11-20 01:00:00+00:00,2022-11-21 07:00:00+00:00,-1,16686.3,16042.3,30,0.0385945356370196,time_stop_max,0.7380395985179103,3.0,0.0081250287161724,False,,0.0471224897071249,0.0033680324577647,0.0369945356370196,0.0369945356370196,down,-0.1248642950422455,0.0081250287161724,3.0,False,0.5788181522166369,0.0009261090435466,0.0016,,16726.1,16754.1,16675.1,16686.3,16670.846666666668,16738.635000000002,16603.058333333334,135.57666666666773,0.0081250287161724,0.0345856179690088,short,3,0.7380395985179103,0.38601775133382604,0.35443037974683544,True,47.63571428571413,False,0.5-1.0%,3.0-4.0%,sell_fb,short,True,0.000926109043546619,0.004988623401632752,0.5788181522166369,3.11788962602047,0.5788181522166369,81.34600000000064,0.6,0.0011027010182004249,0.0016061080047702347,0.0011027010182004249,0.0016061080047702347,0.0011027010182004249,0.0016061080047702347,0.0011027010182004249,0.0016061080047702347,0.0011027010182004249,0.003368032457764736
false_break,2020-01-08 16:00:00+00:00,2020-01-09 22:00:00+00:00,-1,8115.6,7811.7,30,0.0374463995268372,time_stop_max,0.6152098460986883,3.0,0.0703506723676213,True,,0.0448026023953866,0.0014786337424219,0.0358463995268372,0.0358463995268372,warmup,,0.0703506723676213,3.0,True,14.1942902917426,0.0227108644667881,0.0016,,8305.8,8334.1,8050.0,8115.6,7931.287708333334,8216.756666666668,7645.81875,570.9379166666677,0.0703506723676213,0.0522002460157883,short,3,0.6152098460986883,0.1771762983570178,0.09961281239000723,True,98.72142857142873,True,4.0-8.0%,5.0-6.0%,sell_fb,neutral,False,0.02271086446678816,0.057886200650598796,14.1942902917426,36.17887540662424,14.1942902917426,342.56275000000056,0.6,0.012383557592784311,0.0005421657055546536,0.012383557592784311,0.0005421657055546536,0.019431711764995918,0.0005421657055546536,0.030164128345408825,0.0005421657055546536,0.030164128345408825,0.0005421657055546536
false_break,2022-05-04 05:00:00+00:00,2022-05-05 11:00:00+00:00,1,38082.1,39500.8,30,0.0372537228776774,time_stop_max,0.4954384136910177,2.0,0.016997662068706,False,,0.0521478594930426,0.0002179501655632,0.0356537228776774,0.0356537228776774,down,-0.1761882202277038,0.016997662068706,2.0,False,4.07685522419543,0.0065229683587126,0.0016,,38000.0,38130.0,37968.1,38082.1,38330.50833333333,38654.16166666667,38006.855,647.3066666666709,0.016997662068706,0.0427715265153207,long,2,0.4954384136910177,0.11624320260360084,0.19703520691785775,False,250.82142857142858,False,1.5-2.5%,4.0-5.0%,buy_fb,short,False,0.0065229683587126885,0.015021799393065693,4.07685522419543,9.388624620666057,4.07685522419543,388.3840000000026,0.6,0.008962215844189325,0.00021795016556325209,0.017522668130171448,0.00021795016556325209,0.025626212840153206,0.00021795016556325209,0.02769805236580969,0.00021795016556325209,0.02769805236580969,0.00021795016556325209
false_break,2021-07-18 06:00:00+00:00,2021-07-19 12:00:00+00:00,-1,31891.9,30707.2,30,0.037147363437111,time_stop_max,0.4889851732217813,2.0,0.0178288217384351,False,,0.0384392275154507,0.0013388979646868,0.035547363437111,0.035547363437111,down,-0.1487321161648516,0.0178288217384351,2.0,False,3.588277248036883,0.005741243596859,0.0016,,32071.1,32078.6,31860.0,31891.9,31708.80083333333,31993.09833333333,31424.50333333333,568.5950000000012,0.0178288217384351,0.05865144061186,short,2,0.4889851732217813,0.17797963987254528,0.03430924062214113,False,219.1142857142851,False,1.5-2.5%,5.0-6.0%,sell_fb,short,True,0.005741243596859125,0.01465565446607664,3.588277248036953,9.159784041297899,3.588277248036953,341.15700000000066,0.6,0.006628642382548566,0.0013388979646868915,0.007095845653598665,0.0013388979646868915,0.007095845653598665,0.0013388979646868915,0.01029728551763931,0.0013388979646868915,0.01029728551763931,0.0013388979646868915
false_break,2021-12-16 07:00:00+00:00,2021-12-17 13:00:00+00:00,-1,48714.3,46944.8,30,0.036324036268611,time_stop_max,0.4966808311120781,2.0,0.0414855938947427,False,,0.0407744748461951,0.0151023416122164,0.034724036268611,0.034724036268611,down,-0.1991283418767446,0.0414855938947427,2.0,False,12.440894750959524,0.0199054316015352,0.0016,,48892.3,49030.0,48686.2,48714.3,47744.62083333333,48755.09166666667,46734.15,2020.9416666666657,0.0414855938947427,0.0500226551300429,short,2,0.4966808311120781,0.020184484955444497,0.4005235602094122,True,590.1142857142856,False,4.0-8.0%,5.0-6.0%,sell_fb,short,True,0.01990543160153535,0.040648228548906595,12.440894750959593,25.40514284306662,12.440894750959593,1212.5649999999994,0.6,0.0019624627676063655,0.004651611539116862,0.0019624627676063655,0.005341347407229469,0.0019624627676063655,0.010723750520894137,0.0019624627676063655,0.015102341612216463,0.006698238504915466,0.015102341612216463
false_break,2025-01-13 20:00:00+00:00,2025-01-15 02:00:00+00:00,1,93595.9,96822.0,30,0.0344683901752107,time_stop_max,0.4882718701445296,2.0,0.0168031220740796,False,,0.0424174563202022,0.0020278666052678,0.0328683901752107,0.0328683901752107,down,-0.0711531800999745,0.0168031220740796,2.0,False,3.1892756520318644,0.0051028410432509,0.0016,,92311.9,93810.0,91905.3,93595.9,94073.505,94859.85666666667,93287.15333333332,1572.703333333353,0.0168031220740796,0.0389736137305518,long,2,0.4882718701445296,0.19631589767936913,0.21347193783797547,False,1227.249999999998,False,1.5-2.5%,3.0-4.0%,buy_fb,short,False,0.005102841043250983,0.0135044020802908,3.1892756520318644,8.44025130018175,3.1892756520318644,1349.9749999999979,0.8583786728160097,0.009465158196032109,0.0020278666052678807,0.012149036442835603,0.0020278666052678807,0.012149036442835603,0.0020278666052678807,0.013815776118398349,0.0020278666052678807,0.01822836256716376,0.0020278666052678807
false_break,2025-11-02 14:00:00+00:00,2025-11-03 20:00:00+00:00,-1,110364.1,106600.0,30,0.0341061993891129,time_stop_max,0.6184518969369243,3.0,0.008793125814161,False,,0.0463384379521965,0.0033815343938834,0.0325061993891129,0.0325061993891129,down,-0.0867958531679211,0.008793125814161,3.0,False,1.9061680930815976,0.0030498689489305,0.0016,,110505.0,110624.6,110136.4,110364.1,110027.50395833334,110512.72666666668,109542.28125,970.4454166666546,0.008793125814161,0.0314405495462182,short,3,0.6184518969369243,0.15315304097904847,0.24498156493241083,True,483.414285714288,False,0.5-1.0%,3.0-4.0%,sell_fb,short,True,0.0030498689489305564,0.0074464318560112375,1.9061680930815976,4.654019910007023,1.9061680930815976,582.2672499999927,0.6,0.0031169556042227597,0.0013401096914666955,0.00642509656672785,0.0013401096914666955,0.00642509656672785,0.0013401096914666955,0.00642509656672785,0.0013401096914666955,0.00642509656672785,0.0013401096914666955
false_break,2024-06-30 06:00:00+00:00,2024-07-01 12:00:00+00:00,1,61049.0,62898.5,30,0.030295336532949,time_stop_max,0.6296072546722626,3.0,0.0097237191982394,False,,0.0457173745679699,0.0001949253878033,0.028695336532949,0.028695336532949,down,-0.1059571613931187,0.0097237191982394,3.0,False,0.8319478342533326,0.0013311165348053,0.0016,,60795.5,61049.0,60770.0,61049.0,61130.26333333333,61427.07499999999,60833.45166666667,593.6233333333221,0.0097237191982394,0.0420516228499371,long,3,0.6296072546722626,0.3631062345932095,0.0913978494623656,True,159.14285714285765,False,0.5-1.0%,4.0-5.0%,buy_fb,short,False,0.0013311165348053322,0.006192976133924999,0.8319478342533326,3.870610083703124,0.8319478342533326,356.1739999999932,0.6,0.012288489573948791,0.00019492538780330193,0.012288489573948791,0.00019492538780330193,0.012288489573948791,0.00019492538780330193,0.012288489573948791,0.00019492538780330193,0.012288489573948791,0.00019492538780330193
false_break,2022-06-01 14:00:00+00:00,2022-06-02 20:00:00+00:00,-1,31182.0,30246.0,30,0.0300173176832788,time_stop_max,0.6156332047313626,3.0,0.0295680467363649,False,,0.0602911936373549,0.0018824963119747,0.0284173176832788,0.0284173176832788,down,-0.1972567403711742,0.0295680467363649,3.0,False,-2.203453047163878,-0.0035255248754622,0.0016,,31731.9,31844.5,30939.7,31182.0,31291.932916666665,31752.928333333333,30830.9375,921.9908333333332,0.0295680467363649,0.055315576424529,short,3,0.6156332047313626,0.6192342837826479,0.12444739168876949,True,244.63571428571387,False,2.5-4.0%,5.0-6.0%,sell_fb,short,True,-0.003525524875462205,0.011258498492720204,-2.203453047163878,7.036561557950127,-2.203453047163878,553.1944999999998,0.6,0.014556474889359294,0.0018824963119747906,0.025591687512026118,0.0018824963119747906,0.02677506253607853,0.0018824963119747906,0.035084343531524564,0.0018824963119747906,0.06029119363735491,0.0018824963119747906
false_break,2023-05-30 13:00:00+00:00,2023-05-31 19:00:00+00:00,-1,27796.9,27007.9,30,0.0283844601376412,time_stop_max,0.6191858040717226,3.0,0.0200341734749802,False,,0.0354679838399246,0.0028852138188071,0.0267844601376412,0.0267844601376412,down,-0.0511999563093705,0.0200341734749802,3.0,False,3.6180359065818974,0.005788857450531,0.0016,,27900.1,27967.8,27746.9,27796.9,27635.98770833333,27914.43166666667,27357.543749999997,556.8879166666775,0.0200341734749802,0.0275496027852017,short,3,0.6191858040717226,0.21105084730545065,0.3064735174287071,True,143.62142857142862,False,1.5-2.5%,2.0-3.0%,sell_fb,short,True,0.0057888574505312596,0.01580594418802117,3.618035906582037,9.87871511751323,3.618035906582037,334.13275000000647,0.6,0.006227313117649902,0.002885213818807131,0.006328043774665559,0.002885213818807131,0.008702409261464483,0.002885213818807131,0.008702409261464483,0.002885213818807131,0.008702409261464483,0.002885213818807131
