variant,trades,win_rate,avg_return,total_return,sharpe,max_drawdown,avg_holding_bars,price_stop_count,price_stop_total_return,time_stop_max_count,time_stop_max_total_return,early_failure_count,warmup_trade_count,filtered_signal_count
variant_combo_best_effort,117,0.37606837606837606,0.0060453974841665065,0.9470692568786152,5.048028441645829,-0.14864573843274653,17.700854700854702,49,-0.41044867169568944,42,1.6206570195133523,0,0,3123
variant_bad_width_bucket_filter,126,0.35714285714285715,0.0053969781323754025,0.8927678627136495,4.6445954822061255,-0.14864573843274642,17.404761904761905,55,-0.4447421167731821,43,1.7145981380576374,0,9,3109
variant_no_warmup,136,0.33088235294117646,0.003879362739031426,0.6276601151134253,3.5580215421455934,-0.168823395094991,16.852941176470587,62,-0.47744259546274626,44,1.5015583828574286,0,0,3074
variant_bad_width_bucket_repair,145,0.31724137931034485,0.0035071656164169756,0.595461812177708,3.3025051402849286,-0.16189187876274536,16.627586206896552,65,-0.49330965300539686,45,1.591230244089044,3,9,3059
baseline_current,145,0.31724137931034485,0.0034503522175178846,0.582266653547985,3.2433890412901833,-0.16882339509499134,16.648275862068967,68,-0.50783908986787,45,1.591230244089044,0,9,3059
variant_early_failure_targeted,145,0.3103448275862069,0.0032297798977033157,0.5335140808064995,3.086119917885077,-0.16090931266769604,16.337931034482757,65,-0.48897685487317,44,1.5042718186323936,5,9,3059
variant_early_failure_global,145,0.296551724137931,0.003170762301956418,0.5210067035102715,3.0686491061365198,-0.14581271324040068,16.055172413793102,60,-0.45509481904482474,42,1.4517054847645774,11,9,3059
