h4_width_bucket,trades,price_stop_count,price_stop_rate,avg_return,total_return
2.0-3.0%,23,11,0.4782608695652174,-0.0023214864502063563,-0.053145722883957136
3.0-4.0%,35,16,0.45714285714285713,0.00576382998627886,0.2089591325032636
4.0-5.0%,33,13,0.3939393939393939,0.009448353933998616,0.33885271426449726
5.0-6.0%,39,16,0.41025641025641024,0.0018667999369918408,0.06807569607666752
<=2.0%,15,12,0.8,-0.0021759777993037733,-0.033392693619115676
>6.0%,0,0,,,0.0
