variant,fb_regime,trades,win_rate,avg_return,total_return,sharpe,max_drawdown,avg_holding_bars
baseline_current,down,136,0.33088235294117646,0.003879362739031426,0.6276601151134253,3.5580215421455934,-0.168823395094991,16.852941176470587
baseline_current,warmup,9,0.1111111111111111,-0.003032473440908945,-0.02788878411650275,-4.968314651417142,-0.061529570091138464,13.555555555555555
variant_no_warmup,down,136,0.33088235294117646,0.003879362739031426,0.6276601151134253,3.5580215421455934,-0.168823395094991,16.852941176470587
variant_early_failure_global,down,136,0.3088235294117647,0.0035812705496460376,0.5646426855881028,3.3853593857909487,-0.1458127132404009,16.220588235294116
variant_early_failure_global,warmup,9,0.1111111111111111,-0.003032473440908945,-0.02788878411650275,-4.968314651417142,-0.061529570091138464,13.555555555555555
variant_early_failure_targeted,down,136,0.3235294117647059,0.0036441937215820684,0.5775088855576822,3.399282229093297,-0.16090931266769615,16.522058823529413
variant_early_failure_targeted,warmup,9,0.1111111111111111,-0.003032473440908945,-0.02788878411650275,-4.968314651417142,-0.061529570091138464,13.555555555555555
variant_bad_width_bucket_filter,down,117,0.37606837606837606,0.0060453974841665065,0.9470692568786152,5.048028441645829,-0.14864573843274653,17.700854700854702
variant_bad_width_bucket_filter,warmup,9,0.1111111111111111,-0.003032473440908945,-0.02788878411650275,-4.968314651417142,-0.061529570091138464,13.555555555555555
variant_bad_width_bucket_repair,down,136,0.33088235294117646,0.00393993584815178,0.6412338280941254,3.620222931057275,-0.16189187876274524,16.830882352941178
variant_bad_width_bucket_repair,warmup,9,0.1111111111111111,-0.003032473440908945,-0.02788878411650275,-4.968314651417142,-0.061529570091138464,13.555555555555555
variant_combo_best_effort,down,117,0.37606837606837606,0.0060453974841665065,0.9470692568786152,5.048028441645829,-0.14864573843274653,17.700854700854702
