variant,exit_reason,count,ratio,avg_return,total_return
baseline_current,price_stop,68,0.4689655172413793,-0.010364447343593673,-0.50783908986787
baseline_current,time_stop_max,45,0.3103448275862069,0.02152877785539826,1.591230244089044
baseline_current,time_stop_early,29,0.2,-0.003725845434470493,-0.10268130927531272
baseline_current,state_stop,3,0.020689655172413793,0.11477933500372857,0.3826741403821463
variant_no_warmup,price_stop,62,0.45588235294117646,-0.010406697715138661,-0.47744259546274626
variant_no_warmup,time_stop_max,44,0.3235294117647059,0.02120337736286556,1.5015583828574286
variant_no_warmup,time_stop_early,27,0.19852941176470587,-0.0038695562270518297,-0.09946783005716442
variant_no_warmup,state_stop,3,0.022058823529411766,0.11477933500372857,0.3826741403821463
variant_early_failure_global,price_stop,60,0.41379310344827586,-0.010060953382830204,-0.45509481904482474
variant_early_failure_global,time_stop_max,42,0.2896551724137931,0.02173095430772931,1.4517054847645774
variant_early_failure_global,time_stop_early,29,0.2,-0.0036315649273748,-0.10020880262726006
variant_early_failure_global,early_failure,11,0.07586206896551724,-0.008027724208041338,-0.08487522800414427
variant_early_failure_global,state_stop,3,0.020689655172413793,0.11477933500372857,0.3826741403821463
variant_early_failure_targeted,price_stop,65,0.4482758620689655,-0.010268085221675867,-0.48897685487317
variant_early_failure_targeted,time_stop_max,44,0.30344827586206896,0.021228885618734337,1.5042718186323936
variant_early_failure_targeted,time_stop_early,28,0.19310344827586207,-0.0035827821762739287,-0.09568952735560898
variant_early_failure_targeted,early_failure,5,0.034482758620689655,-0.00846948934478288,-0.04164076891758994
variant_early_failure_targeted,state_stop,3,0.020689655172413793,0.11477933500372857,0.3826741403821463
variant_bad_width_bucket_filter,price_stop,55,0.4365079365079365,-0.010631656458345202,-0.4447421167731821
variant_bad_width_bucket_filter,time_stop_max,43,0.3412698412698413,0.023638321435270247,1.7145981380576374
variant_bad_width_bucket_filter,time_stop_early,25,0.1984126984126984,-0.0038410190735807797,-0.09180891807296165
variant_bad_width_bucket_filter,state_stop,3,0.023809523809523808,0.11477933500372857,0.3826741403821463
variant_bad_width_bucket_repair,price_stop,65,0.4482758620689655,-0.010397383585555002,-0.49330965300539686
variant_bad_width_bucket_repair,time_stop_max,45,0.3103448275862069,0.02152877785539826,1.591230244089044
variant_bad_width_bucket_repair,time_stop_early,29,0.2,-0.003725845434470493,-0.10268130927531272
variant_bad_width_bucket_repair,early_failure,3,0.020689655172413793,-0.006904847820975534,-0.020574911196410972
variant_bad_width_bucket_repair,state_stop,3,0.020689655172413793,0.11477933500372857,0.3826741403821463
variant_combo_best_effort,price_stop,49,0.4188034188034188,-0.010717835595575782,-0.41044867169568944
variant_combo_best_effort,time_stop_max,42,0.358974358974359,0.02334765290928056,1.6206570195133523
variant_combo_best_effort,time_stop_early,23,0.19658119658119658,-0.004019738146533678,-0.08855650262898696
variant_combo_best_effort,state_stop,3,0.02564102564102564,0.11477933500372857,0.3826741403821463
