box_width_bucket,trades,price_stop_count,price_stop_rate,avg_return,total_return
0.5-1.0%,26,16,0.6153846153846154,0.0037199060359785537,0.09690004234764271
1.0-1.5%,22,13,0.5909090909090909,-0.002564347942108214,-0.05617581669903604
1.5-2.5%,60,27,0.45,0.005457128544351429,0.347530222251101
2.5-4.0%,22,6,0.2727272727272727,0.003504006821280668,0.07497643775242158
4.0-8.0%,10,2,0.2,0.0075494170282328285,0.07645268778642733
<=0.5%,5,4,0.8,-0.0040021727361114,-0.019857738672188097
>8.0%,0,0,,,0.0
