feature,price_stop_mean,non_price_stop_mean
reward_to_midline,0.004057596940214805,0.006132729819784151
reward_to_opposite_edge,0.011859429461832665,0.017271111591342876
reward_to_cost_midline,2.5359980876342534,3.832956137365094
reward_to_cost_opposite,7.412143413645417,10.794444744589297
reentry_strength,0.2555530935911068,0.25619099327705475
relevant_wick_ratio,0.33314837833762406,0.25130636548561236
stop_dist_box_ratio,0.6318120621985706,0.6093555458516802
mfe_1,0.0031299957420176105,0.006614214367428035
mfe_2,0.0036604876446300403,0.009687193705456012
mfe_3,0.00404393125468336,0.011660726855022957
mfe_4,0.0043140069709482805,0.014052126704339406
mfe_6,0.004739565639535909,0.01761474893594871
mae_1,0.004309988971856329,0.002415496486917176
mae_2,0.006140010264356464,0.0028570255937677745
mae_3,0.007822973312162456,0.003241490632618011
mae_4,0.008865227860091156,0.0034591375736505985
mae_6,0.009667742663544114,0.0037811373639976193
