engine,stage,count
false_break,raw_signal,3303
false_break,after_execution_gate,244
false_break,risk_entry_accepted,145
false_break,risk_entry_blocked,99
false_break,closed_trade,145
boundary,raw_signal,48141
boundary,after_execution_gate,4268
boundary,risk_entry_accepted,1330
boundary,risk_entry_blocked,2938
boundary,closed_trade,1330
