timestamp,engine,event,side,status,reason
2023-12-23 11:00:00+00:00,boundary,entry,-1,accepted,
2023-12-23 14:00:00+00:00,boundary,exit,-1,closed,early_failure
2023-12-23 14:00:00+00:00,boundary,circuit,0,pause,loss_streak_trigger
2023-12-23 18:00:00+00:00,boundary,entry,1,blocked,circuit_pause
2023-12-24 01:00:00+00:00,boundary,entry,1,blocked,circuit_pause
2023-12-24 10:00:00+00:00,boundary,entry,-1,accepted,
2023-12-24 13:00:00+00:00,boundary,exit,-1,closed,price_stop
2023-12-24 16:00:00+00:00,boundary,entry,-1,blocked,risk_side_cooldown
2023-12-24 22:00:00+00:00,boundary,entry,-1,accepted,
2023-12-25 05:00:00+00:00,boundary,exit,-1,closed,price_stop
2023-12-25 05:00:00+00:00,boundary,entry,1,accepted,
2023-12-25 11:00:00+00:00,boundary,entry,1,blocked,position_overlap
2023-12-25 18:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2023-12-26 00:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2023-12-26 05:00:00+00:00,boundary,exit,1,closed,price_stop
2023-12-26 05:00:00+00:00,boundary,circuit,0,pause,loss_streak_trigger
2023-12-26 06:00:00+00:00,boundary,entry,-1,blocked,circuit_pause
2023-12-26 12:00:00+00:00,boundary,entry,1,blocked,circuit_pause
2023-12-26 20:00:00+00:00,boundary,entry,1,blocked,circuit_pause
2023-12-27 02:00:00+00:00,boundary,entry,-1,accepted,
2023-12-27 08:00:00+00:00,boundary,entry,1,blocked,position_overlap
2023-12-27 10:00:00+00:00,boundary,exit,-1,closed,price_stop
2023-12-27 16:00:00+00:00,boundary,entry,1,accepted,
2023-12-28 00:00:00+00:00,boundary,entry,1,blocked,position_overlap
2023-12-28 08:00:00+00:00,boundary,exit,1,closed,time_stop_early
2023-12-28 08:00:00+00:00,boundary,entry,-1,accepted,
2023-12-28 14:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2023-12-28 20:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2023-12-29 02:00:00+00:00,boundary,entry,1,blocked,position_overlap
2023-12-29 09:00:00+00:00,boundary,entry,1,blocked,position_overlap
2023-12-29 14:00:00+00:00,boundary,exit,-1,closed,time_stop_early
2023-12-29 14:00:00+00:00,boundary,circuit,0,pause,loss_streak_trigger
2023-12-29 15:00:00+00:00,boundary,entry,-1,blocked,circuit_pause
2023-12-29 21:00:00+00:00,boundary,entry,-1,blocked,circuit_pause
2023-12-30 05:00:00+00:00,boundary,entry,1,blocked,circuit_pause
2023-12-30 11:00:00+00:00,boundary,entry,1,accepted,
2023-12-30 19:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2023-12-31 02:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2023-12-31 09:00:00+00:00,boundary,entry,1,blocked,position_overlap
2023-12-31 16:00:00+00:00,boundary,entry,1,blocked,position_overlap
2023-12-31 17:00:00+00:00,boundary,exit,1,closed,time_stop_max
2023-12-31 22:00:00+00:00,boundary,entry,-1,accepted,
2024-01-01 01:00:00+00:00,boundary,exit,-1,closed,price_stop
2024-01-01 05:00:00+00:00,boundary,entry,-1,accepted,
2024-01-01 07:00:00+00:00,boundary,exit,-1,closed,early_failure
2024-01-01 12:00:00+00:00,boundary,entry,-1,accepted,
2024-01-01 18:00:00+00:00,boundary,exit,-1,closed,price_stop
2024-01-01 18:00:00+00:00,boundary,circuit,0,pause,loss_streak_trigger
2024-01-01 18:00:00+00:00,boundary,entry,1,blocked,circuit_pause
2024-01-02 00:00:00+00:00,boundary,entry,1,blocked,circuit_pause
2024-01-02 06:00:00+00:00,boundary,entry,-1,blocked,circuit_pause
2024-01-02 12:00:00+00:00,boundary,entry,-1,accepted,
2024-01-02 19:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2024-01-03 01:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-03 06:00:00+00:00,boundary,exit,-1,closed,time_stop_early
2024-01-03 07:00:00+00:00,boundary,entry,-1,blocked,risk_side_cooldown
2024-01-03 13:00:00+00:00,boundary,entry,-1,accepted,
2024-01-03 21:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-04 04:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-04 05:00:00+00:00,boundary,exit,-1,closed,time_stop_early
2024-01-04 10:00:00+00:00,boundary,entry,1,accepted,
2024-01-04 21:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-05 03:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2024-01-05 09:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-05 16:00:00+00:00,boundary,exit,1,closed,time_stop_max
2024-01-05 16:00:00+00:00,boundary,entry,-1,accepted,
2024-01-05 20:00:00+00:00,boundary,exit,-1,closed,price_stop
2024-01-05 22:00:00+00:00,boundary,entry,1,accepted,
2024-01-06 06:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2024-01-06 13:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-06 14:00:00+00:00,boundary,exit,1,closed,time_stop_early
2024-01-06 23:00:00+00:00,boundary,entry,1,accepted,
2024-01-07 05:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2024-01-07 11:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-07 16:00:00+00:00,boundary,exit,1,closed,time_stop_early
2024-01-07 16:00:00+00:00,boundary,circuit,0,pause,loss_streak_trigger
2024-01-07 17:00:00+00:00,boundary,entry,1,blocked,circuit_pause
2024-01-07 23:00:00+00:00,boundary,entry,1,blocked,circuit_pause
2024-01-08 05:00:00+00:00,boundary,entry,1,blocked,circuit_pause
2024-01-08 11:00:00+00:00,boundary,entry,1,accepted,
2024-01-08 17:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-09 00:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2024-01-09 07:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-09 13:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-09 17:00:00+00:00,boundary,exit,1,closed,time_stop_max
2024-01-09 20:00:00+00:00,boundary,entry,-1,accepted,
2024-01-09 21:00:00+00:00,boundary,exit,-1,closed,price_stop
2024-01-10 08:00:00+00:00,boundary,entry,-1,accepted,
2024-01-10 17:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-10 18:00:00+00:00,boundary,exit,-1,closed,price_stop
2024-01-11 00:00:00+00:00,boundary,entry,1,accepted,
2024-01-11 06:00:00+00:00,boundary,exit,1,closed,price_stop
2024-01-11 06:00:00+00:00,boundary,circuit,0,pause,loss_streak_trigger
2024-01-11 06:00:00+00:00,boundary,entry,-1,blocked,circuit_pause
2024-01-11 12:00:00+00:00,boundary,entry,1,blocked,circuit_pause
2024-01-17 09:00:00+00:00,boundary,entry,-1,accepted,
2024-01-17 15:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2024-01-17 22:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-18 04:00:00+00:00,boundary,exit,-1,closed,time_stop_early
2024-01-18 08:00:00+00:00,boundary,entry,-1,accepted,
2024-01-19 14:00:00+00:00,boundary,exit,-1,closed,time_stop_max
2024-01-22 04:00:00+00:00,boundary,entry,-1,accepted,
2024-01-22 05:00:00+00:00,boundary,exit,-1,closed,price_stop
2024-01-22 12:00:00+00:00,boundary,entry,1,accepted,
2024-01-22 15:00:00+00:00,boundary,exit,1,closed,price_stop
2024-01-22 18:00:00+00:00,boundary,entry,-1,accepted,
2024-01-23 00:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-23 07:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2024-01-23 13:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2024-01-23 21:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-24 00:00:00+00:00,boundary,exit,-1,closed,time_stop_max
2024-01-24 03:00:00+00:00,boundary,entry,-1,blocked,risk_side_cooldown
2024-01-24 10:00:00+00:00,boundary,entry,1,accepted,
2024-01-24 16:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-24 18:00:00+00:00,boundary,exit,1,closed,price_stop
2024-01-24 23:00:00+00:00,boundary,entry,1,accepted,
2024-01-25 06:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-25 12:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2024-01-25 15:00:00+00:00,boundary,exit,1,closed,price_stop
2024-01-25 18:00:00+00:00,boundary,entry,1,blocked,risk_side_cooldown
2024-01-26 02:00:00+00:00,boundary,entry,1,accepted,
2024-01-26 07:00:00+00:00,boundary,exit,1,closed,early_failure
2024-01-26 07:00:00+00:00,boundary,circuit,0,pause,loss_streak_trigger
2024-01-26 16:00:00+00:00,boundary,entry,1,blocked,circuit_pause
2024-01-26 22:00:00+00:00,boundary,entry,-1,blocked,circuit_pause
2024-01-27 05:00:00+00:00,boundary,entry,-1,accepted,
2024-01-27 11:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-27 19:00:00+00:00,boundary,entry,1,blocked,position_overlap
2024-01-27 21:00:00+00:00,boundary,exit,-1,closed,time_stop_early
2024-01-28 03:00:00+00:00,boundary,entry,1,accepted,
2024-01-28 09:00:00+00:00,boundary,entry,1,blocked,position_overlap
