timestamp,engine,event,side,status,reason
2024-06-28 02:00:00+00:00,false_break,entry,-1,blocked,position_overlap
2024-06-28 14:00:00+00:00,false_break,exit,1,closed,time_stop_max
2024-06-30 06:00:00+00:00,false_break,entry,1,accepted,
2024-07-01 12:00:00+00:00,false_break,exit,1,closed,time_stop_max
2024-07-02 13:00:00+00:00,false_break,entry,-1,accepted,
2024-07-03 19:00:00+00:00,false_break,exit,-1,closed,time_stop_max
2024-07-12 19:00:00+00:00,false_break,entry,-1,accepted,
2024-07-13 06:00:00+00:00,false_break,exit,-1,closed,price_stop
2024-08-18 17:00:00+00:00,false_break,entry,-1,accepted,
2024-08-18 21:00:00+00:00,false_break,entry,-1,blocked,position_overlap
2024-08-19 17:00:00+00:00,false_break,entry,1,blocked,position_overlap
2024-08-19 23:00:00+00:00,false_break,exit,-1,closed,time_stop_max
2024-08-20 14:00:00+00:00,false_break,entry,-1,accepted,
2024-08-21 06:00:00+00:00,false_break,exit,-1,closed,time_stop_early
2024-08-21 14:00:00+00:00,false_break,entry,-1,accepted,
2024-08-21 18:00:00+00:00,false_break,exit,-1,closed,price_stop
2024-08-23 14:00:00+00:00,false_break,entry,-1,accepted,
2024-08-23 17:00:00+00:00,false_break,exit,-1,closed,price_stop
2024-08-23 17:00:00+00:00,false_break,circuit,0,pause,loss_streak_trigger
2024-08-26 00:00:00+00:00,false_break,entry,-1,accepted,
2024-08-27 06:00:00+00:00,false_break,exit,-1,closed,time_stop_max
2024-09-08 17:00:00+00:00,false_break,entry,1,accepted,
2024-09-09 04:00:00+00:00,false_break,entry,-1,blocked,position_overlap
2024-09-09 14:00:00+00:00,false_break,entry,-1,blocked,position_overlap
2024-09-09 23:00:00+00:00,false_break,exit,1,closed,time_stop_max
2024-09-13 11:00:00+00:00,false_break,entry,-1,accepted,
2024-09-13 14:00:00+00:00,false_break,exit,-1,closed,price_stop
2025-01-13 01:00:00+00:00,false_break,entry,-1,accepted,
2025-01-13 04:00:00+00:00,false_break,exit,-1,closed,price_stop
2025-01-13 20:00:00+00:00,false_break,entry,1,accepted,
2025-01-14 00:00:00+00:00,false_break,entry,-1,blocked,position_overlap
2025-01-14 07:00:00+00:00,false_break,entry,-1,blocked,position_overlap
2025-01-15 02:00:00+00:00,false_break,exit,1,closed,time_stop_max
2025-02-16 16:00:00+00:00,false_break,entry,1,accepted,
2025-02-16 18:00:00+00:00,false_break,exit,1,closed,price_stop
2025-02-16 21:00:00+00:00,false_break,entry,1,blocked,risk_side_cooldown
2025-02-18 01:00:00+00:00,false_break,entry,1,accepted,
2025-02-18 05:00:00+00:00,false_break,exit,1,closed,early_failure
2025-02-19 14:00:00+00:00,false_break,entry,-1,accepted,
2025-02-19 16:00:00+00:00,false_break,exit,-1,closed,early_failure
2025-02-19 16:00:00+00:00,false_break,circuit,0,pause,loss_streak_trigger
2025-02-19 20:00:00+00:00,false_break,entry,-1,blocked,circuit_pause
2025-02-20 15:00:00+00:00,false_break,entry,-1,accepted,
2025-02-20 16:00:00+00:00,false_break,exit,-1,closed,price_stop
2025-02-21 15:00:00+00:00,false_break,entry,-1,accepted,
2025-02-22 00:00:00+00:00,false_break,entry,1,blocked,position_overlap
2025-02-22 09:00:00+00:00,false_break,entry,1,blocked,position_overlap
2025-02-22 21:00:00+00:00,false_break,exit,-1,closed,time_stop_max
2025-02-24 06:00:00+00:00,false_break,entry,1,accepted,
2025-02-24 11:00:00+00:00,false_break,entry,1,blocked,position_overlap
2025-02-24 13:00:00+00:00,false_break,exit,1,closed,price_stop
2025-03-17 00:00:00+00:00,false_break,entry,1,accepted,
2025-03-17 06:00:00+00:00,false_break,entry,1,blocked,position_overlap
2025-03-17 15:00:00+00:00,false_break,entry,1,blocked,position_overlap
2025-03-17 20:00:00+00:00,false_break,entry,-1,blocked,position_overlap
2025-03-18 04:00:00+00:00,false_break,exit,1,closed,time_stop_early
2025-03-18 07:00:00+00:00,false_break,entry,1,blocked,risk_side_cooldown
2025-03-19 10:00:00+00:00,false_break,entry,-1,accepted,
2025-03-19 12:00:00+00:00,false_break,exit,-1,closed,early_failure
2025-03-19 12:00:00+00:00,false_break,circuit,0,pause,loss_streak_trigger
2025-03-20 15:00:00+00:00,false_break,entry,-1,accepted,
2025-03-21 21:00:00+00:00,false_break,exit,-1,closed,time_stop_max
2025-03-26 20:00:00+00:00,false_break,entry,1,accepted,
2025-03-27 12:00:00+00:00,false_break,exit,1,closed,time_stop_early
2025-04-04 13:00:00+00:00,false_break,entry,1,accepted,
2025-04-04 14:00:00+00:00,false_break,exit,1,closed,price_stop
2025-06-23 12:00:00+00:00,false_break,entry,1,accepted,
2025-06-23 16:00:00+00:00,false_break,exit,1,closed,price_stop
2025-06-23 16:00:00+00:00,false_break,circuit,0,pause,loss_streak_trigger
2025-06-23 17:00:00+00:00,false_break,entry,1,blocked,circuit_pause
2025-08-27 18:00:00+00:00,false_break,entry,-1,accepted,
2025-08-28 05:00:00+00:00,false_break,exit,-1,closed,price_stop
2025-08-30 15:00:00+00:00,false_break,entry,1,accepted,
2025-08-31 07:00:00+00:00,false_break,exit,1,closed,time_stop_early
2025-09-09 14:00:00+00:00,false_break,entry,-1,accepted,
2025-09-10 06:00:00+00:00,false_break,exit,-1,closed,time_stop_early
2025-09-10 06:00:00+00:00,false_break,circuit,0,pause,loss_streak_trigger
2025-09-10 08:00:00+00:00,false_break,entry,-1,blocked,circuit_pause
2025-10-31 08:00:00+00:00,false_break,entry,1,accepted,
2025-11-01 00:00:00+00:00,false_break,exit,1,closed,time_stop_early
2025-11-01 21:00:00+00:00,false_break,entry,-1,accepted,
2025-11-02 04:00:00+00:00,false_break,exit,-1,closed,price_stop
2025-11-02 14:00:00+00:00,false_break,entry,-1,accepted,
2025-11-03 00:00:00+00:00,false_break,entry,-1,blocked,position_overlap
2025-11-03 20:00:00+00:00,false_break,exit,-1,closed,time_stop_max
2025-11-05 14:00:00+00:00,false_break,entry,1,accepted,
2025-11-06 07:00:00+00:00,false_break,exit,1,closed,time_stop_early
2025-11-16 02:00:00+00:00,false_break,entry,1,accepted,
2025-11-16 15:00:00+00:00,false_break,exit,1,closed,price_stop
2025-11-28 16:00:00+00:00,false_break,entry,-1,accepted,
2025-11-29 11:00:00+00:00,false_break,entry,1,blocked,position_overlap
2025-11-29 15:00:00+00:00,false_break,exit,-1,closed,time_stop_early
2025-11-29 15:00:00+00:00,false_break,circuit,0,pause,loss_streak_trigger
2025-11-29 18:00:00+00:00,false_break,entry,1,blocked,circuit_pause
2025-11-30 03:00:00+00:00,false_break,entry,1,blocked,circuit_pause
2025-11-30 10:00:00+00:00,false_break,entry,-1,accepted,
2025-11-30 13:00:00+00:00,false_break,exit,-1,closed,price_stop
2025-11-30 20:00:00+00:00,false_break,entry,-1,accepted,
2025-12-02 02:00:00+00:00,false_break,exit,-1,closed,time_stop_max
